Freq.	V(vo)
3.00000000000000e+002	(-5.68948797844675e-001dB,-8.65870876566119e+001°)
3.00691571423370e+002	(-5.68958666432656e-001dB,-8.67887296030870e+001°)
3.01384737083519e+002	(-5.68968692044092e-001dB,-8.69908492974685e+001°)
3.02079500655541e+002	(-5.68978874353995e-001dB,-8.71934479288381e+001°)
3.02775865823005e+002	(-5.68989213015038e-001dB,-8.73965266897427e+001°)
3.03473836277970e+002	(-5.68999707657162e-001dB,-8.76000867762100e+001°)
3.04173415721004e+002	(-5.69010357887652e-001dB,-8.78041293877640e+001°)
3.04874607861209e+002	(-5.69021163290763e-001dB,-8.80086557274406e+001°)
3.05577416416235e+002	(-5.69032123427434e-001dB,-8.82136670018034e+001°)
3.06281845112304e+002	(-5.69043237835348e-001dB,-8.84191644209601e+001°)
3.06987897684226e+002	(-5.69054506028473e-001dB,-8.86251491985779e+001°)
3.07695577875422e+002	(-5.69065927497004e-001dB,-8.88316225518998e+001°)
3.08404889437942e+002	(-5.69077501707192e-001dB,-8.90385857017613e+001°)
3.09115836132485e+002	(-5.69089228101027e-001dB,-8.92460398726063e+001°)
3.09828421728419e+002	(-5.69101106096205e-001dB,-8.94539862925039e+001°)
3.10542650003803e+002	(-5.69113135085896e-001dB,-8.96624261931649e+001°)
3.11258524745403e+002	(-5.69125314438424e-001dB,-8.98713608099588e+001°)
3.11976049748717e+002	(-5.69137643497335e-001dB,-9.00807913819305e+001°)
3.12695228817991e+002	(-5.69150121581050e-001dB,-9.02907191518173e+001°)
3.13416065766240e+002	(-5.69162747982711e-001dB,-9.05011453660663e+001°)
3.14138564415269e+002	(-5.69175521970116e-001dB,-9.07120712748513e+001°)
3.14862728595696e+002	(-5.69188442785491e-001dB,-9.09234981320906e+001°)
3.15588562146966e+002	(-5.69201509645288e-001dB,-9.11354271954644e+001°)
3.16316068917377e+002	(-5.69214721740116e-001dB,-9.13478597264322e+001°)
3.17045252764097e+002	(-5.69228078234585e-001dB,-9.15607969902509e+001°)
3.17776117553186e+002	(-5.69241578267066e-001dB,-9.17742402559929e+001°)
3.18508667159617e+002	(-5.69255220949689e-001dB,-9.19881907965636e+001°)
3.19242905467294e+002	(-5.69269005368071e-001dB,-9.22026498887202e+001°)
3.19978836369077e+002	(-5.69282930581351e-001dB,-9.24176188130895e+001°)
3.20716463766797e+002	(-5.69296995621931e-001dB,-9.26330988541869e+001°)
3.21455791571281e+002	(-5.69311199495359e-001dB,-9.28490913004344e+001°)
3.22196823702373e+002	(-5.69325541180293e-001dB,-9.30655974441798e+001°)
3.22939564088950e+002	(-5.69340019628444e-001dB,-9.32826185817157e+001°)
3.23684016668948e+002	(-5.69354633764230e-001dB,-9.35001560132979e+001°)
3.24430185389381e+002	(-5.69369382484961e-001dB,-9.37182110431653e+001°)
3.25178074206360e+002	(-5.69384264660586e-001dB,-9.39367849795582e+001°)
3.25927687085119e+002	(-5.69399279133671e-001dB,-9.41558791347390e+001°)
3.26679028000029e+002	(-5.69414424719293e-001dB,-9.43754948250108e+001°)
3.27432100934626e+002	(-5.69429700205016e-001dB,-9.45956333707375e+001°)
3.28186909881627e+002	(-5.69445104350740e-001dB,-9.48162960963635e+001°)
3.28943458842955e+002	(-5.69460635888777e-001dB,-9.50374843304340e+001°)
3.29701751829755e+002	(-5.69476293523729e-001dB,-9.52591994056150e+001°)
3.30461792862424e+002	(-5.69492075932351e-001dB,-9.54814426587134e+001°)
3.31223585970621e+002	(-5.69507981763777e-001dB,-9.57042154306975e+001°)
3.31987135193299e+002	(-5.69524009639195e-001dB,-9.59275190667182e+001°)
3.32752444578719e+002	(-5.69540158152061e-001dB,-9.61513549161286e+001°)
3.33519518184476e+002	(-5.69556425867999e-001dB,-9.63757243325060e+001°)
3.34288360077518e+002	(-5.69572811324777e-001dB,-9.66006286736721e+001°)
3.35058974334167e+002	(-5.69589313032362e-001dB,-9.68260693017148e+001°)
3.35831365040144e+002	(-5.69605929472948e-001dB,-9.70520475830091e+001°)
3.36605536290588e+002	(-5.69622659100951e-001dB,-9.72785648882387e+001°)
