X (Hz),Y (dBV),
0,-52.35943,
19.07582,-57.8903,
38.15163,-57.70863,
57.22745,-58.26321,
76.30326,-57.29507,
95.37907,-52.73322,
114.4549,-59.4565,
133.5307,-58.36948,
152.6065,-57.69795,
171.6823,-57.29716,
190.7581,-55.29187,
209.834,-59.57001,
228.9098,-58.01649,
247.9856,-57.39073,
267.0614,-56.89379,
286.1372,-56.54382,
305.213,-56.57366,
324.2888,-55.94028,
343.3647,-55.48751,
362.4405,-55.26179,
381.5163,-54.52526,
400.5921,-54.52283,
419.6679,-53.97532,
438.7437,-53.74389,
457.8196,-53.23685,
476.8954,-52.84281,
495.9712,-53.18636,
515.047,-51.8383,
534.1228,-51.52606,
553.1987,-51.00134,
572.2745,-50.55657,
591.3503,-50.05653,
610.4261,-49.57496,
629.5019,-49.01055,
648.5777,-48.51469,
667.6535,-47.9374,
686.7294,-47.31727,
705.8052,-45.61633,
724.881,-45.49786,
743.9568,-44.7964,
763.0326,-43.85278,
782.1084,-42.73981,
801.1843,-43.08302,
820.2601,-41.02634,
839.3359,-39.39693,
858.4117,-37.22352,
877.4875,-33.75943,
896.5633,-20.80319,
915.6392,-38.65073,
934.715,-39.63824,
953.7908,-34.87951,
972.8666,-29.50594,
991.9424,-18.79575,
1011.018,-21.43866,
1030.094,-30.83028,
1049.17,-36.71152,
1068.246,-43.76054,
1087.321,-34.55633,
1106.397,-23.03959,
1125.473,-32.5526,
1144.549,-35.83205,
1163.625,-37.87829,
1182.701,-39.58964,
1201.776,-35.99888,
1220.852,-40.96314,
1239.928,-41.99955,
1259.004,-42.82385,
1278.08,-43.58152,
1297.155,-44.9328,
1316.231,-44.56362,
1335.307,-45.12709,
1354.383,-45.65485,
1373.459,-46.00671,
1392.535,-46.472,
1411.61,-47.03986,
1430.686,-47.43473,
1449.762,-47.79002,
1468.838,-48.12117,
1487.914,-48.38137,
1506.989,-48.51358,
1526.065,-48.96598,
1545.141,-49.37988,
1564.217,-49.57458,
1583.293,-49.79151,
1602.369,-50.17353,
1621.444,-50.49993,
1640.52,-50.63049,
1659.596,-50.79836,
1678.672,-51.05791,
1697.748,-51.19314,
1716.823,-51.44802,
1735.899,-51.61339,
1754.975,-51.92028,
1774.051,-52.08491,
1793.127,-52.27877,
1812.202,-52.39538,
1831.278,-52.61102,
1850.354,-52.77278,
1869.43,-52.9168,
1888.506,-53.0414,
1907.582,-53.37993,
1926.657,-53.45219,
1945.733,-53.58865,
1964.809,-53.73061,
1983.885,-53.85654,
2002.961,-54.3558,
2022.036,-54.2248,
2041.112,-54.34486,
2060.188,-54.48178,
2079.264,-54.62421,
2098.34,-54.92415,
2117.416,-54.82103,
2136.491,-54.95976,
2155.567,-55.09521,
2174.643,-55.2176,
2193.719,-55.36845,
