X (Hz),Y (dBV),
0,-38.25655,
19.07582,-44.77119,
38.15163,-44.71541,
57.22745,-45.02437,
76.30326,-44.42793,
95.37907,-41.35611,
114.4549,-47.3052,
133.5307,-46.19553,
152.6065,-46.18715,
171.6823,-46.09081,
190.7581,-47.20036,
209.834,-43.49354,
228.9098,-44.3977,
247.9856,-44.62804,
267.0614,-44.27212,
286.1372,-43.98355,
305.213,-45.6193,
324.2888,-44.48031,
343.3647,-44.32478,
362.4405,-43.84853,
381.5163,-43.65221,
400.5921,-43.28235,
419.6679,-43.30796,
438.7437,-43.10732,
457.8196,-42.92407,
476.8954,-42.70069,
495.9712,-41.94376,
515.047,-42.45975,
534.1228,-42.1097,
553.1987,-41.6512,
572.2745,-41.41113,
591.3503,-41.30363,
610.4261,-40.31153,
629.5019,-40.13948,
648.5777,-39.81289,
667.6535,-39.27322,
686.7294,-38.7335,
705.8052,-38.60242,
724.881,-37.81657,
743.9568,-37.17389,
763.0326,-36.42758,
782.1084,-35.64492,
801.1843,-34.70528,
820.2601,-33.66231,
839.3359,-32.29247,
858.4117,-30.44787,
877.4875,-27.25243,
896.5633,-14.69391,
915.6392,-31.44948,
934.715,-31.27228,
953.7908,-27.28718,
972.8666,-22.28123,
991.9424,-11.79851,
1011.018,-14.57523,
1030.094,-23.98758,
1049.17,-29.39977,
1068.246,-32.85705,
1087.321,-25.07431,
1106.397,-15.77465,
1125.473,-25.85859,
1144.549,-29.38098,
1163.625,-31.58772,
1182.701,-33.19598,
1201.776,-34.49174,
1220.852,-35.56032,
1239.928,-36.46455,
1259.004,-37.30853,
1278.08,-38.0231,
1297.155,-38.80148,
1316.231,-39.37923,
1335.307,-39.95221,
1354.383,-40.62039,
1373.459,-41.06438,
1392.535,-41.52905,
1411.61,-42.02772,
1430.686,-42.49548,
1449.762,-42.89115,
1468.838,-43.30809,
1487.914,-43.69835,
1506.989,-43.7809,
1526.065,-44.34196,
1545.141,-44.61958,
1564.217,-44.9903,
1583.293,-45.10484,
1602.369,-45.54693,
1621.444,-45.76125,
1640.52,-46.18978,
1659.596,-46.49741,
1678.672,-46.61833,
1697.748,-47.00958,
1716.823,-47.24538,
1735.899,-47.35781,
1754.975,-47.66334,
1774.051,-47.91813,
1793.127,-48.06102,
1812.202,-48.33805,
1831.278,-48.4859,
1850.354,-48.81897,
1869.43,-48.85111,
1888.506,-49.03909,
1907.582,-49.13813,
1926.657,-49.40195,
1945.733,-49.47193,
1964.809,-50.02674,
1983.885,-50.18193,
2002.961,-50.51839,
2022.036,-50.5191,
2041.112,-50.57524,
2060.188,-50.57735,
2079.264,-50.73743,
2098.34,-50.86408,
2117.416,-51.10314,
2136.491,-51.34961,
2155.567,-51.53452,
2174.643,-51.60944,
2193.719,-51.80264,
2212.795,-52.06013,
2231.87,-52.17268,
2250.946,-52.10625,
2270.022,-52.13904,
2289.098,-52.39248,
2308.174,-52.42367,
2327.25,-52.74963,
2346.325,-52.7351,
2365.401,-53.22357,
2384.477,-52.9962,
2403.553,-53.30444,
2422.628,-53.17017,
2441.704,-53.20237,
2460.78,-53.37226,
2479.856,-53.79195,
2498.932,-53.60139,
2518.008,-54.03548,
2537.083,-53.87785,
2556.159,-54.07986,
2575.235,-54.05762,
2594.311,-54.61964,
2613.387,-54.46306,
2632.462,-54.62987,
2651.538,-54.53593,
2670.614,-54.74551,
2689.69,-54.64584,
2708.766,-54.86001,
2727.842,-54.90726,
2746.917,-55.03208,
2765.993,-55.18645,
2785.069,-55.28138,
2804.145,-55.56034,
2823.221,-55.49673,
2842.296,-55.42835,
2861.372,-55.57483,
2880.448,-55.58195,
2899.524,-55.58539,
2918.6,-55.90834,
2937.676,-56.11176,
