X (Hz),Y (dBV),
0,-46.51892,
19.07582,-49.34644,
38.15163,-49.23765,
57.22745,-49.77019,
76.30326,-49.17676,
95.37907,-48.26009,
114.4549,-49.75114,
133.5307,-49.68058,
152.6065,-49.2655,
171.6823,-49.44824,
190.7581,-48.85669,
209.834,-49.92354,
228.9098,-49.36956,
247.9856,-49.41538,
267.0614,-49.17648,
286.1372,-49.19045,
305.213,-49.10561,
324.2888,-48.75916,
343.3647,-48.7562,
362.4405,-48.44601,
381.5163,-48.37181,
400.5921,-48.38482,
419.6679,-48.02177,
438.7437,-47.92698,
457.8196,-47.73555,
476.8954,-47.52049,
495.9712,-47.54751,
515.047,-47.35011,
534.1228,-47.08303,
553.1987,-46.78618,
572.2745,-46.42934,
591.3503,-46.41429,
610.4261,-45.9682,
629.5019,-45.71276,
648.5777,-45.25049,
667.6535,-44.93527,
686.7294,-44.54733,
705.8052,-43.39918,
724.881,-43.29582,
743.9568,-42.7758,
763.0326,-42.09154,
782.1084,-41.26247,
801.1843,-46.1908,
820.2601,-39.95452,
839.3359,-38.61937,
858.4117,-36.77184,
877.4875,-33.67915,
896.5633,-21.19305,
915.6392,-37.6931,
934.715,-37.73438,
953.7908,-34.0175,
972.8666,-29.15257,
991.9424,-18.83275,
1011.018,-21.78727,
1030.094,-31.44773,
1049.17,-37.32563,
1068.246,-41.70419,
1087.321,-33.00982,
1106.397,-23.40897,
1125.473,-33.60278,
1144.549,-37.26377,
1163.625,-39.70566,
1182.701,-41.63437,
1201.776,-38.6549,
1220.852,-43.50694,
1239.928,-44.80288,
1259.004,-46.02654,
1278.08,-46.84389,
1297.155,-48.19107,
1316.231,-48.52646,
1335.307,-49.33645,
1354.383,-50.05635,
1373.459,-50.84842,
1392.535,-51.87452,
1411.61,-52.10332,
1430.686,-52.73299,
1449.762,-53.61275,
1468.838,-54.38765,
1487.914,-55.15686,
1506.989,-54.98665,
1526.065,-56.21204,
1545.141,-57.11745,
1564.217,-57.41809,
1583.293,-57.72328,
1602.369,-58.64165,
1621.444,-59.8079,
1640.52,-60.14787,
1659.596,-60.6752,
1678.672,-61.29185,
1697.748,-62.28568,
1716.823,-63.91631,
1735.899,-63.84494,
1754.975,-64.29276,
1774.051,-65.34691,
1793.127,-64.80843,
1812.202,-64.15094,
1831.278,-64.27911,
1850.354,-64.36266,
1869.43,-63.66074,
1888.506,-63.39862,
1907.582,-61.93745,
1926.657,-61.78741,
1945.733,-61.81256,
1964.809,-60.44197,
1983.885,-59.29338,
2002.961,-59.32944,
2022.036,-58.58781,
2041.112,-57.80044,
2060.188,-56.70332,
2079.264,-55.97145,
2098.34,-55.87209,
2117.416,-54.84182,
2136.491,-54.05629,
2155.567,-53.31507,
2174.643,-52.44721,
2193.719,-52.11003,
2212.795,-50.94181,
2231.87,-50.24384,
2250.946,-49.17376,
2270.022,-48.17436,
2289.098,-41.93354,
2308.174,-45.11947,
2327.25,-43.60751,
2346.325,-41.51454,
2365.401,-37.98122,
2384.477,-25.25423,
2403.553,-42.27668,
2422.628,-43.1566,
2441.704,-38.60286,
2460.78,-33.15257,
2479.856,-22.4794,
2498.932,-24.71261,
2518.008,-33.89905,
2537.083,-38.92972,
2556.159,-42.27226,
2575.235,-35.72371,
2594.311,-25.97956,
2613.387,-35.93675,
2632.462,-39.20111,
2651.538,-41.19419,
2670.614,-42.43476,
2689.69,-47.87662,
2708.766,-45.1728,
2727.842,-45.79803,
2746.917,-46.50927,
2765.993,-47.0848,
2785.069,-47.26541,
2804.145,-48.29532,
2823.221,-48.78977,
2842.296,-49.264,
2861.372,-49.76849,
2880.448,-50.13768,
2899.524,-50.68735,
2918.6,-50.81105,
2937.676,-51.23528,
2956.751,-51.56562,
2975.827,-51.91038,
2994.903,-52.26346,
3013.979,-52.31001,
3033.055,-52.57967,
3052.13,-52.86045,
3071.206,-52.9978,
3090.282,-53.36293,
3109.358,-53.49441,
3128.434,-53.6995,
3147.51,-54.03273,
3166.585,-54.15179,
3185.661,-54.48948,
3204.737,-54.70554,
3223.813,-54.82739,
3242.889,-55.12379,
3261.964,-55.18779,
3281.04,-55.81633,
3300.116,-55.04557,
3319.192,-55.54266,
3338.268,-55.47135,
3357.344,-55.79414,
3376.419,-55.98782,
3395.495,-54.93844,
3414.571,-55.31091,
3433.647,-55.36937,
3452.723,-55.00085,
3471.798,-53.48515,
3490.874,-50.84674,
3509.95,-61.06471,
3529.026,-59.15959,
3548.102,-58.57732,
3567.177,-58.13972,
3586.253,-56.95244,
3605.329,-58.47307,
3624.405,-58.46891,
3643.481,-58.28892,
3662.557,-58.46366,
3681.632,-57.90648,
3700.708,-59.09987,
3719.784,-58.81675,
3738.86,-59.00214,
3757.936,-58.91616,
3777.011,-59.07333,
3796.087,-59.10057,
3815.163,-59.04619,
3834.239,-59.16004,
3853.315,-59.18158,
3872.39,-59.1808,
3891.466,-59.32364,
3910.542,-59.19765,
3929.618,-59.31067,
3948.694,-59.35575,
3967.77,-59.24359,
3986.845,-59.63265,
4005.921,-59.59679,
4024.997,-59.55328,
4044.073,-59.54464,
4063.149,-59.44964,
4082.224,-59.7458,
4101.3,-59.55272,
4120.376,-59.49499,
4139.452,-59.39307,
4158.528,-59.45778,
4177.604,-59.41351,
4196.679,-58.63699,
4215.755,-58.6291,
4234.831,-58.37753,
4253.907,-58.07886,
4272.982,-57.28716,
4292.059,-62.92149,
4311.134,-58.28831,
4330.21,-57.30167,
4349.286,-56.33871,
4368.362,-54.60281,
4387.437,-38.18287,
4406.513,-57.52884,
4425.589,-54.67948,
4444.665,-52.06202,
4463.741,-47.8768,
4482.816,-36.12733,
4501.893,-45.40224,
4520.968,-55.64005,
4540.044,-64.81721,
4559.12,-63.66837,
4578.196,-49.44228,
4597.271,-46.01016,
4616.347,-54.86562,
4635.423,-58.72087,
4654.499,-61.15396,
4673.575,-63.29603,
4692.65,-61.43887,
4711.727,-64.38197,
4730.802,-65.41859,
4749.878,-66.02128,
4768.954,-66.62542,
4788.03,-66.75182,
4807.105,-67.29886,
4826.181,-67.46674,
4845.257,-67.81125,
4864.333,-67.88327,
4883.409,-67.98164,
4902.484,-67.95946,
4921.561,-68.2123,
4940.636,-68.718,
4959.712,-68.29498,
4978.788,-68.05979,
4997.864,-68.266,
5016.939,-68.90871,
5036.015,-69.28416,
5055.091,-68.89848,
5074.167,-68.60488,
5093.243,-69.11638,
5112.318,-69.65559,
5131.395,-69.9958,
5150.47,-69.99707,
5169.546,-69.67637,
5188.622,-69.90408,
5207.698,-70.05932,
5226.773,-70.35448,
5245.849,-70.40088,
5264.925,-70.17652,
5284.001,-70.2532,
5303.077,-70.73103,
5322.152,-70.97658,
5341.228,-71.00661,
5360.304,-71.38127,
5379.38,-71.12778,
5398.456,-71.23009,
5417.532,-71.54843,
5436.607,-71.18443,
5455.683,-72.01051,
5474.759,-72.05817,
5493.835,-71.26063,
5512.911,-71.68679,
5531.986,-71.78162,
5551.062,-71.64038,
5570.138,-71.40679,
5589.214,-71.0818,
5608.29,-71.35007,
5627.366,-70.49878,
5646.441,-69.93384,
5665.517,-69.69039,
5684.593,-68.61934,
5703.669,-68.29627,
5722.745,-67.66066,
5741.82,-67.27258,
5760.896,-67.47968,
5779.972,-57.73764,
5799.048,-61.48397,
5818.124,-60.52139,
5837.199,-59.0616,
5856.275,-56.13483,
5875.351,-37.91872,
5894.427,-57.36848,
5913.503,-54.16936,
5932.579,-50.66749,
5951.654,-45.42272,
5970.73,-32.74004,
5989.806,-40.34754,
6008.882,-48.63157,
6027.958,-53.08166,
6047.033,-52.76654,
6066.109,-42.41791,
6085.185,-38.78779,
6104.261,-47.24971,
6123.337,-50.4206,
6142.413,-52.36462,
6161.488,-53.15079,
6180.564,-59.50148,
6199.64,-56.88939,
6218.716,-57.22605,
6237.792,-57.87257,
6256.867,-58.35266,
6275.943,-58.17623,
6295.019,-59.1162,
6314.095,-59.46477,
6333.17,-59.87973,
6352.247,-60.3631,
6371.322,-60.57557,
6390.398,-61.17538,
6409.474,-61.08155,
6428.55,-61.39228,
6447.625,-61.66587,
6466.701,-61.95747,
6485.777,-62.22534,
6504.853,-62.13424,
6523.929,-62.1772,
6543.004,-62.41562,
6562.081,-62.45321,
6581.156,-62.78379,
6600.232,-62.7855,
6619.308,-62.75089,
6638.384,-63.06503,
6657.459,-63.02788,
6676.535,-63.3945,
6695.611,-63.49841,
6714.687,-63.54471,
6733.763,-63.67205,
6752.838,-63.61066,
6771.915,-64.04237,
6790.99,-63.41772,
6810.066,-63.74675,
6829.142,-63.3708,
6848.218,-63.63371,
6867.293,-63.23124,
6886.369,-62.66717,
6905.445,-62.35003,
6924.521,-61.83788,
6943.597,-60.63407,
6962.672,-56.80795,
6981.749,-54.62338,
7000.824,-77.06519,
7019.9,-71.32909,
7038.976,-69.31502,
7058.052,-67.84109,
7077.127,-64.12742,
7096.203,-67.01849,
7115.279,-67.06949,
7134.355,-66.45024,
7153.431,-66.63207,
7172.506,-65.02328,
7191.583,-67.26043,
7210.658,-66.65604,
7229.734,-66.88307,
7248.81,-66.43568,
7267.886,-66.73679,
7286.961,-66.84962,
7306.037,-66.41954,
7325.113,-66.48688,
7344.189,-66.19617,
7363.265,-66.23237,
7382.34,-66.60332,
7401.417,-66.19376,
7420.492,-66.21829,
7439.568,-66.06106,
7458.644,-65.62138,
7477.72,-66.23296,
7496.795,-66.21566,
7515.871,-66.11651,
7534.947,-65.88358,
7554.023,-65.44946,
7573.099,-66.02328,
7592.174,-65.61694,
7611.25,-65.55311,
7630.326,-65.08551,
7649.402,-65.41352,
7668.478,-65.57746,
7687.554,-63.59282,
7706.629,-63.5773,
7725.705,-62.97047,
7744.781,-62.2114,
7763.857,-59.4309,
7782.933,-71.18531,
7802.008,-67.1952,
7821.084,-65.15151,
7840.16,-64.35905,
7859.236,-59.8442,
7878.312,-34.9664,
7897.388,-51.1347,
7916.463,-51.68546,
7935.539,-50.14058,
7954.615,-46.00113,
7973.691,-30.19727,
7992.767,-47.02835,
8011.842,-58.3349,
8030.918,-63.89742,
8049.994,-53.38884,
8069.07,-39.87062,
8088.146,-41.9464,
8107.222,-49.65474,
8126.297,-53.19149,
8145.373,-55.84649,
8164.449,-58.08112,
8183.525,-55.42674,
8202.601,-58.66746,
8221.677,-59.77333,
8240.752,-60.95968,
8259.828,-61.48315,
8278.903,-62.70615,
8297.979,-63.01742,
8317.056,-63.34542,
8336.131,-63.98319,
8355.207,-64.09715,
8374.283,-64.72803,
8393.358,-65.03008,
8412.435,-65.11382,
8431.511,-65.79865,
8450.586,-65.88918,
8469.662,-66.18581,
8488.737,-66.21908,
8507.813,-66.33566,
8526.89,-67.20006,
8545.965,-67.08952,
8565.041,-66.74203,
8584.117,-67.21623,
8603.192,-67.33603,
8622.269,-67.75629,
8641.345,-67.78639,
8660.42,-67.57951,
8679.496,-67.70252,
8698.571,-68.25988,
8717.647,-68.29411,
8736.724,-68.62556,
8755.799,-68.92055,
8774.875,-68.88059,
8793.951,-68.66222,
8813.026,-68.93233,
8832.103,-69.21881,
8851.179,-69.24902,
8870.254,-69.24959,
8889.33,-69.15554,
8908.405,-69.3503,
8927.481,-69.64064,
8946.558,-69.6452,
8965.633,-69.48899,
8984.709,-70.09152,
9003.785,-69.71306,
9022.86,-70.01244,
9041.937,-69.91884,
9061.013,-70.1776,
9080.088,-70.51485,
9099.164,-70.26675,
9118.239,-70.32047,
9137.315,-70.30713,
9156.392,-70.27256,
9175.467,-70.77812,
9194.543,-71.15655,
9213.619,-70.68198,
9232.694,-71.27309,
9251.771,-70.83234,
9270.846,-66.14323,
