#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA23CA
#Date Time: 2019-04-01 12:59:37.574
#Start: 300 Hz
#Stop: 2250 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5478 V
#Offset: -0.00029488 V
#Relative: no
#Channel: Channel 2
#Range: 5.4859 V
#Offset: -5.08746e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
300,0.00787183,-0.717066
301.214,0.00482379,-0.717051
302.433,0.00407674,-0.715679
303.656,0.00812649,-0.715232
304.885,0.00639106,-0.713291
306.118,0.00770445,-0.713311
307.357,0.00678658,-0.713339
308.601,0.0102784,-0.711447
309.849,0.00445432,-0.708269
311.103,0.00864369,-0.710104
312.362,0.00937494,-0.707701
313.625,0.00805076,-0.706886
314.894,0.00451069,-0.705887
316.168,0.00451757,-0.702162
317.448,0.00536071,-0.701454
318.732,0.00675544,-0.704287
320.022,0.00643365,-0.700813
321.316,0.00468966,-0.701596
322.617,0.00394169,-0.694534
323.922,0.0068251,-0.697119
325.232,0.00474539,-0.696901
326.548,0.00604913,-0.694601
327.87,0.00568758,-0.694537
329.196,0.0021571,-0.692285
330.528,0.00846339,-0.692096
331.865,0.00572438,-0.692664
333.208,0.00875866,-0.690298
334.556,0.00650125,-0.688821
335.91,0.00704356,-0.686585
337.269,0.00519312,-0.686111
338.634,0.00506432,-0.683589
340.004,0.00830892,-0.684404
341.379,0.00650407,-0.682462
342.761,0.00776845,-0.68141
344.148,0.00509543,-0.678982
345.54,0.00462833,-0.675929
346.938,0.00328206,-0.676084
348.342,0.0094806,-0.676713
349.751,0.00832958,-0.675988
351.166,0.00849574,-0.673222
352.587,0.00565407,-0.670299
354.014,0.0042887,-0.671953
355.446,0.00450553,-0.670528
356.884,0.00177133,-0.668753
358.328,0.00586578,-0.668844
359.778,0.00608184,-0.667879
361.234,0.00218188,-0.661923
362.695,0.00626004,-0.663567
364.163,0.0030655,-0.661696
365.636,0.0065792,-0.664823
367.116,0.00457487,-0.660824
368.601,0.00688975,-0.658234
370.092,0.0079636,-0.657761
371.59,0.00527057,-0.654978
373.093,0.00990211,-0.660337
374.603,0.00588063,-0.652306
376.118,0.00905165,-0.654084
377.64,0.00815011,-0.654229
379.168,0.00868338,-0.65111
380.702,0.00971891,-0.64874
382.243,0.00409323,-0.645873
383.789,0.0062518,-0.645322
385.342,0.0038931,-0.642776
386.901,0.0010858,-0.641776
388.466,0.0054715,-0.641298
390.038,0.00509575,-0.640431
391.616,0.00723154,-0.637923
393.201,0.0052778,-0.637776
394.792,0.00502318,-0.634885
396.389,0.00504959,-0.633731
397.993,0.0065367,-0.630151
399.603,0.00668654,-0.632405
401.22,0.0079065,-0.632733
402.843,0.00564504,-0.626059
404.473,0.0059122,-0.626194
406.11,0.00576178,-0.624756
407.753,0.00758993,-0.625138
409.403,0.0062322,-0.623351
411.059,0.0091019,-0.620467
412.722,0.00605538,-0.619706
414.392,0.00550769,-0.615566
416.069,0.00558117,-0.61592
417.752,0.00385573,-0.614213
419.443,0.00894113,-0.614616
421.14,0.00687939,-0.60973
422.844,0.0040224,-0.610368
424.554,0.00467354,-0.605996
426.272,0.00596352,-0.608996
427.997,0.00521272,-0.606053
429.729,0.00296652,-0.601456
431.467,0.00851914,-0.606024
433.213,0.0068861,-0.600544
434.966,0.008359,-0.598827
436.726,0.00221376,-0.595802
438.493,0.00422743,-0.592993
440.267,0.00356618,-0.591937
442.048,0.00898447,-0.593518
443.837,0.0100848,-0.594365
445.633,0.00589605,-0.588186
447.436,0.0103003,-0.589588
449.246,0.00990105,-0.586016
451.064,0.00646968,-0.586477
452.889,0.003253,-0.580858
454.721,0.00541719,-0.583579
456.561,0.00766271,-0.580286
458.408,0.00416205,-0.575704
460.263,0.0073183,-0.577256
462.125,0.0108332,-0.576497
463.995,0.00677328,-0.574438
465.872,0.00607756,-0.56932
467.757,0.00218311,-0.569787
469.65,0.00544336,-0.565605
471.55,0.0099782,-0.566155
473.458,0.00628338,-0.564457
475.374,0.00712409,-0.563903
477.297,0.00535247,-0.559331
479.228,0.0084456,-0.560296
481.167,0.00649101,-0.559162
483.114,0.00591874,-0.557593
485.069,0.00407914,-0.553388
487.031,0.00654735,-0.552813
489.002,0.00113384,-0.550608
490.98,0.00718543,-0.551969
492.967,0.00521708,-0.547097
494.961,0.00558901,-0.54372
496.964,0.00650274,-0.542584
498.975,0.00290795,-0.543052
500.994,0.0056457,-0.547465
503.021,0.00708782,-0.53971
505.056,0.0103404,-0.542916
507.099,0.0115405,-0.536828
509.151,0.00692475,-0.534417
511.211,0.00919812,-0.534087
513.28,0.00490369,-0.531375
515.356,0.00389642,-0.528027
517.442,0.00656298,-0.527702
519.535,0.00935888,-0.527747
521.637,0.00302168,-0.523646
523.748,0.00658083,-0.524996
525.867,0.00912654,-0.521808
527.995,0.00821565,-0.518067
530.131,0.00839173,-0.518156
532.276,0.0076437,-0.516088
534.429,0.00130822,-0.512767
536.592,0.0100687,-0.511284
538.763,0.00570302,-0.507886
540.943,0.00600553,-0.507525
543.131,0.0064825,-0.505581
545.329,0.00744154,-0.506536
547.535,0.00687745,-0.503098
549.751,0.00570631,-0.503261
551.975,0.0075768,-0.497367
554.208,0.00528849,-0.497892
