x-axis,B
second,Volt
-99.8000E-03,+605.0000E-03
-99.6000E-03,+580.0000E-03
-99.4000E-03,+580.0000E-03
-99.2000E-03,+586.2500E-03
-99.0000E-03,+592.5000E-03
-98.8000E-03,+592.5000E-03
-98.6000E-03,+592.5000E-03
-98.4000E-03,+598.7500E-03
-98.2000E-03,+623.7500E-03
-98.0000E-03,+673.7500E-03
-97.8000E-03,+723.7500E-03
-97.6000E-03,+736.2500E-03
-97.4000E-03,+717.5000E-03
-97.2000E-03,+723.7500E-03
-97.0000E-03,+736.2500E-03
-96.8000E-03,+711.2500E-03
-96.6000E-03,+736.2500E-03
-96.4000E-03,+736.2500E-03
-96.2000E-03,+723.7500E-03
-96.0000E-03,+780.0000E-03
-95.8000E-03,+855.0000E-03
-95.6000E-03,+892.5000E-03
-95.4000E-03,+867.5000E-03
-95.2000E-03,+848.7500E-03
-95.0000E-03,+861.2500E-03
-94.8000E-03,+873.7500E-03
-94.6000E-03,+861.2500E-03
-94.4000E-03,+867.5000E-03
-94.2000E-03,+867.5000E-03
-94.0000E-03,+861.2500E-03
-93.8000E-03,+823.7500E-03
-93.6000E-03,+730.0000E-03
-93.4000E-03,+680.0000E-03
-93.2000E-03,+698.7500E-03
-93.0000E-03,+698.7500E-03
-92.8000E-03,+680.0000E-03
-92.6000E-03,+692.5000E-03
-92.4000E-03,+698.7500E-03
-92.2000E-03,+705.0000E-03
-92.0000E-03,+705.0000E-03
-91.8000E-03,+692.5000E-03
-91.6000E-03,+655.0000E-03
-91.4000E-03,+586.2500E-03
-91.2000E-03,+555.0000E-03
-91.0000E-03,+567.5000E-03
-90.8000E-03,+580.0000E-03
-90.6000E-03,+561.2500E-03
-90.4000E-03,+555.0000E-03
-90.2000E-03,+567.5000E-03
-90.0000E-03,+573.7500E-03
-89.8000E-03,+561.2500E-03
-89.6000E-03,+555.0000E-03
-89.4000E-03,+523.7500E-03
-89.2000E-03,+455.0000E-03
-89.0000E-03,+436.2500E-03
-88.8000E-03,+467.5000E-03
-88.6000E-03,+461.2500E-03
-88.4000E-03,+461.2500E-03
