x-axis,B
second,Volt
-50.000E-03,+859.375E-03
-49.900E-03,+937.500E-03
-49.800E-03,+968.750E-03
-49.700E-03,+984.375E-03
-49.600E-03,+921.875E-03
-49.500E-03,+843.750E-03
-49.400E-03,+781.250E-03
-49.300E-03,+703.125E-03
-49.200E-03,+687.500E-03
-49.100E-03,+750.000E-03
-49.000E-03,+828.125E-03
-48.900E-03,+921.875E-03
-48.800E-03,+953.125E-03
-48.700E-03,+953.125E-03
-48.600E-03,+906.250E-03
-48.500E-03,+812.500E-03
-48.400E-03,+718.750E-03
-48.300E-03,+656.250E-03
-48.200E-03,+656.250E-03
-48.100E-03,+718.750E-03
-48.000E-03,+796.875E-03
-47.900E-03,+890.625E-03
-47.800E-03,+937.500E-03
-47.700E-03,+921.875E-03
-47.600E-03,+843.750E-03
-47.500E-03,+750.000E-03
-47.400E-03,+656.250E-03
-47.300E-03,+609.375E-03
-47.200E-03,+593.750E-03
-47.100E-03,+687.500E-03
-47.000E-03,+765.625E-03
-46.900E-03,+875.000E-03
-46.800E-03,+906.250E-03
-46.700E-03,+875.000E-03
-46.600E-03,+812.500E-03
-46.500E-03,+703.125E-03
-46.400E-03,+593.750E-03
-46.300E-03,+562.500E-03
-46.200E-03,+546.875E-03
-46.100E-03,+640.625E-03
-46.000E-03,+718.750E-03
-45.900E-03,+843.750E-03
-45.800E-03,+859.375E-03
-45.700E-03,+828.125E-03
-45.600E-03,+734.375E-03
-45.500E-03,+625.000E-03
-45.400E-03,+531.250E-03
-45.300E-03,+484.375E-03
-45.200E-03,+515.625E-03
-45.100E-03,+593.750E-03
-45.000E-03,+703.125E-03
-44.900E-03,+796.875E-03
-44.800E-03,+812.500E-03
-44.700E-03,+781.250E-03
-44.600E-03,+656.250E-03
-44.500E-03,+546.875E-03
-44.400E-03,+484.375E-03
-44.300E-03,+421.875E-03
-44.200E-03,+468.750E-03
-44.100E-03,+531.250E-03
-44.000E-03,+671.875E-03
-43.900E-03,+750.000E-03
-43.800E-03,+765.625E-03
-43.700E-03,+703.125E-03
-43.600E-03,+609.375E-03
-43.500E-03,+484.375E-03
-43.400E-03,+375.000E-03
-43.300E-03,+359.375E-03
-43.200E-03,+421.875E-03
-43.100E-03,+500.000E-03
-43.000E-03,+625.000E-03
-42.900E-03,+703.125E-03
-42.800E-03,+734.375E-03
-42.700E-03,+640.625E-03
-42.600E-03,+515.625E-03
-42.500E-03,+390.625E-03
-42.400E-03,+328.125E-03
-42.300E-03,+296.875E-03
-42.200E-03,+343.750E-03
-42.100E-03,+468.750E-03
-42.000E-03,+562.500E-03
-41.900E-03,+640.625E-03
-41.800E-03,+656.250E-03
-41.700E-03,+578.125E-03
-41.600E-03,+453.125E-03
-41.500E-03,+328.125E-03
-41.400E-03,+218.750E-03
-41.300E-03,+218.750E-03
-41.200E-03,+281.250E-03
-41.100E-03,+390.625E-03
-41.000E-03,+515.625E-03
-40.900E-03,+593.750E-03
-40.800E-03,+593.750E-03
-40.700E-03,+500.000E-03
-40.600E-03,+375.000E-03
-40.500E-03,+250.000E-03
-40.400E-03,+156.250E-03
-40.300E-03,+171.875E-03
-40.200E-03,+234.375E-03
-40.100E-03,+343.750E-03
-40.000E-03,+468.750E-03
-39.900E-03,+531.250E-03
-39.800E-03,+500.000E-03
-39.700E-03,+421.875E-03
-39.600E-03,+296.875E-03
-39.500E-03,+171.875E-03
-39.400E-03,+93.750E-03
-39.300E-03,+78.125E-03
-39.200E-03,+171.875E-03
-39.100E-03,+281.250E-03
-39.000E-03,+390.625E-03
-38.900E-03,+437.500E-03
-38.800E-03,+421.875E-03
-38.700E-03,+312.500E-03
-38.600E-03,+187.500E-03
-38.500E-03,+62.500E-03
-38.400E-03,+15.625E-03
-38.300E-03,+31.250E-03
-38.200E-03,+125.000E-03
-38.100E-03,+234.375E-03
-38.000E-03,+343.750E-03
-37.900E-03,+375.000E-03
-37.800E-03,+328.125E-03
-37.700E-03,+218.750E-03
-37.600E-03,+109.375E-03
-37.500E-03,+15.625E-03
-37.400E-03,-46.875E-03
-37.300E-03,-31.250E-03
-37.200E-03,+62.500E-03
-37.100E-03,+156.250E-03
-37.000E-03,+265.625E-03
-36.900E-03,+281.250E-03
-36.800E-03,+265.625E-03
-36.700E-03,+140.625E-03
-36.600E-03,-0.0E+00
-36.500E-03,-93.750E-03
-36.400E-03,-109.375E-03
-36.300E-03,-93.750E-03
-36.200E-03,-31.250E-03
-36.100E-03,+109.375E-03
-36.000E-03,+171.875E-03
-35.900E-03,+218.750E-03
-35.800E-03,+187.500E-03
-35.700E-03,+62.500E-03
-35.600E-03,-31.250E-03
-35.500E-03,-156.250E-03
-35.400E-03,-171.875E-03
-35.300E-03,-156.250E-03
-35.200E-03,-78.125E-03
-35.100E-03,+31.250E-03
-35.000E-03,+140.625E-03
-34.900E-03,+125.000E-03
-34.800E-03,+78.125E-03
-34.700E-03,-46.875E-03
-34.600E-03,-156.250E-03
-34.500E-03,-265.625E-03
-34.400E-03,-250.000E-03
-34.300E-03,-218.750E-03
-34.200E-03,-109.375E-03
