Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
100,0.00281155,-2.09957
100.787,0.00258268,-2.10003
101.58,0.000694767,-2.10084
102.38,0.000209919,-2.10225
103.186,0.00283765,-2.10128
103.998,0.00154923,-2.09938
104.816,0.00202372,-2.10011
105.641,-0.00029345,-2.09886
106.473,0.000913897,-2.09868
107.311,0.0017953,-2.09868
108.155,-0.000414434,-2.09829
109.006,-0.0014777,-2.09757
109.864,-0.000304099,-2.09645
110.729,-0.000478956,-2.09573
111.601,-0.000122881,-2.09688
112.479,0.000532609,-2.09657
113.364,-0.000407915,-2.09521
114.256,0.00157555,-2.09717
115.156,-0.000199504,-2.09539
116.062,0.000984412,-2.0942
116.976,1.73228e-05,-2.09193
117.896,0.00234034,-2.0942
118.824,-4.37731e-05,-2.09401
119.759,0.000510286,-2.09352
120.702,0.0011175,-2.09308
121.652,0.000753459,-2.09038
122.609,0.000908114,-2.09187
123.574,0.000372324,-2.0913
124.547,-0.00120534,-2.08977
125.527,0.00109764,-2.09079
126.515,0.000789639,-2.08887
127.511,0.000709808,-2.09005
128.514,-0.000533629,-2.08724
129.526,0.000243205,-2.08808
130.545,0.00229993,-2.08781
131.573,0.000723662,-2.08536
132.608,0.00304538,-2.08688
133.652,0.00159042,-2.08425
134.704,0.00314237,-2.08556
135.764,0.00286847,-2.08563
136.833,-0.000744906,-2.08454
137.91,0.00244225,-2.08414
138.995,-0.000511619,-2.08175
140.089,0.00151185,-2.08388
141.192,-0.00111926,-2.08028
142.303,-0.000641653,-2.07825
143.423,0.000468491,-2.07909
144.552,0.00125854,-2.07959
145.689,0.000313039,-2.07941
146.836,0.00153788,-2.0794
147.992,0.00132371,-2.07637
149.157,0.00135505,-2.07595
150.33,0.000598232,-2.07779
151.514,-0.00161017,-2.07393
152.706,0.000602553,-2.07473
153.908,0.00270824,-2.07255
155.119,0.00162277,-2.0716
156.34,0.000780107,-2.06989
157.571,-0.00216653,-2.06975
158.811,-4.74188e-05,-2.06912
160.061,0.000744783,-2.06634
161.321,0.00065781,-2.0694
162.59,0.000986553,-2.06577
163.87,0.0019907,-2.06694
165.16,-0.000152851,-2.0634
166.46,-0.000132559,-2.06277
167.77,0.00146116,-2.06415
169.09,0.0030972,-2.06491
170.421,-0.00030293,-2.06158
171.762,0.00141361,-2.06179
173.114,-0.00117616,-2.0602
174.477,0.00147187,-2.06034
175.85,0.00317998,-2.0591
177.234,0.00185527,-2.05696
178.629,0.00185006,-2.05764
180.035,0.00147019,-2.05369
181.452,-0.000598395,-2.05333
182.88,-0.00104829,-2.05189
184.319,0.00397172,-2.05412
185.77,0.00210376,-2.05204
187.232,0.00350239,-2.05184
188.706,0.00222632,-2.04981
190.191,0.0016062,-2.04579
191.688,0.000324301,-2.04593
193.196,0.00344466,-2.04542
194.717,0.00039401,-2.0411
196.249,0.00125888,-2.04276
197.794,-0.000226996,-2.03974
199.351,0.00182942,-2.0395
200.92,0.00192358,-2.03887
202.501,0.00134271,-2.03584
204.095,0.00121978,-2.03495
205.701,0.00227883,-2.03078
207.32,0.000197609,-2.03124
208.952,0.00267496,-2.03176
210.597,0.00330696,-2.03009
212.254,-0.00038885,-2.0304
213.925,0.00114098,-2.02732
215.608,0.000922839,-2.02443
217.305,3.85457e-05,-2.02368
219.016,0.0022981,-2.02351
220.739,0.00208375,-2.02203
222.477,0.00227904,-2.01959
224.228,0.00173558,-2.01873
225.992,0.00138519,-2.01812
227.771,0.00208212,-2.01084
229.564,-0.000615776,-2.013
231.371,-0.00143974,-2.01249
233.192,0.000864601,-2.00836
235.027,0.00113693,-2.00731
236.877,-0.00114347,-2.00341
238.741,0.00414766,-2.00391
240.62,0.000566942,-1.99982
242.514,-0.000507865,-1.99728
244.423,0.000459843,-1.998
246.346,0.00127969,-1.9944
248.285,0.000356374,-1.99479
250.239,0.00153478,-1.99034
252.209,-0.00144847,-1.99007
254.194,0.0016686,-1.98836
256.195,0.000190505,-1.98512
258.211,0.000691258,-1.98239
260.243,-3.85865e-05,-1.98257
262.291,0.000658429,-1.9783
264.356,-0.000675987,-1.97515
266.436,0.00193946,-1.97333
268.533,0.00277699,-1.97487
270.647,-0.00101174,-1.97034
272.777,0.00443045,-1.96737
274.924,0.00674419,-1.96744
277.088,-0.00235242,-1.9639
279.269,-0.000173944,-1.96097
281.467,0.000103884,-1.95927
283.682,0.00103961,-1.95713
285.915,0.00108943,-1.95461
288.165,0.000444106,-1.95348
290.433,-0.000623124,-1.94739
292.719,0.000118554,-1.94632
295.023,0.00140645,-1.94607
297.345,0.00300324,-1.94107
299.685,-0.000242446,-1.94056
302.044,-0.000225188,-1.93406
304.421,0.000390626,-1.93269
306.817,-0.000318266,-1.93159
309.232,0.00328334,-1.93165
311.665,0.000370314,-1.92815
314.118,0.00104174,-1.9223
316.591,0.00395361,-1.92192
319.082,-4.33945e-05,-1.91897
321.594,0.00431276,-1.91584
324.125,0.00138926,-1.91448
326.676,0.00240023,-1.90861
329.247,0.00384965,-1.90676
331.838,0.000363056,-1.90299
334.45,0.00209953,-1.90034
337.082,0.000302189,-1.89872
339.735,-0.000555345,-1.8938
