x-axis,B
second,Volt
-2.300000E-03,-968.750000E-03
-2.295000E-03,-968.750000E-03
-2.290000E-03,-937.500000E-03
-2.285000E-03,-906.250000E-03
-2.280000E-03,-843.750000E-03
-2.275000E-03,-875.000000E-03
-2.270000E-03,-843.750000E-03
-2.265000E-03,-843.750000E-03
-2.260000E-03,-843.750000E-03
-2.255000E-03,-812.500000E-03
-2.250000E-03,-750.000000E-03
-2.245000E-03,-750.000000E-03
-2.240000E-03,-687.500000E-03
-2.235000E-03,-687.500000E-03
-2.230000E-03,-656.250000E-03
-2.225000E-03,-593.750000E-03
-2.220000E-03,-625.000000E-03
-2.215000E-03,-562.500000E-03
-2.210000E-03,-531.250000E-03
-2.205000E-03,-531.250000E-03
-2.200000E-03,-531.250000E-03
-2.195000E-03,-468.750000E-03
-2.190000E-03,-500.000000E-03
-2.185000E-03,-468.750000E-03
-2.180000E-03,-437.500000E-03
-2.175000E-03,-406.250000E-03
-2.170000E-03,-406.250000E-03
-2.165000E-03,-343.750000E-03
-2.160000E-03,-343.750000E-03
-2.155000E-03,-312.500000E-03
-2.150000E-03,-281.250000E-03
-2.145000E-03,-281.250000E-03
-2.140000E-03,-250.000000E-03
-2.135000E-03,-281.250000E-03
-2.130000E-03,-281.250000E-03
-2.125000E-03,-281.250000E-03
-2.120000E-03,-281.250000E-03
-2.115000E-03,-250.000000E-03
-2.110000E-03,-281.250000E-03
-2.105000E-03,-250.000000E-03
-2.100000E-03,-250.000000E-03
-2.095000E-03,-281.250000E-03
-2.090000E-03,-250.000000E-03
-2.085000E-03,-218.750000E-03
-2.080000E-03,-281.250000E-03
-2.075000E-03,-250.000000E-03
-2.070000E-03,-281.250000E-03
-2.065000E-03,-250.000000E-03
-2.060000E-03,-250.000000E-03
-2.055000E-03,-281.250000E-03
-2.050000E-03,-281.250000E-03
-2.045000E-03,-250.000000E-03
-2.040000E-03,-281.250000E-03
-2.035000E-03,-281.250000E-03
-2.030000E-03,-250.000000E-03
-2.025000E-03,-250.000000E-03
-2.020000E-03,-281.250000E-03
-2.015000E-03,+406.250000E-03
-2.010000E-03,+375.000000E-03
-2.005000E-03,+406.250000E-03
-2.000000E-03,+375.000000E-03
-1.995000E-03,+437.500000E-03
-1.990000E-03,+437.500000E-03
-1.985000E-03,+468.750000E-03
-1.980000E-03,+468.750000E-03
-1.975000E-03,+531.250000E-03
-1.970000E-03,+531.250000E-03
-1.965000E-03,+593.750000E-03
-1.960000E-03,+562.500000E-03
-1.955000E-03,+593.750000E-03
-1.950000E-03,+625.000000E-03
-1.945000E-03,+625.000000E-03
-1.940000E-03,+656.250000E-03
-1.935000E-03,+687.500000E-03
-1.930000E-03,+687.500000E-03
-1.925000E-03,+718.750000E-03
-1.920000E-03,+718.750000E-03
-1.915000E-03,+781.250000E-03
-1.910000E-03,+750.000000E-03
-1.905000E-03,+781.250000E-03
-1.900000E-03,+781.250000E-03
-1.895000E-03,+781.250000E-03
-1.890000E-03,+843.750000E-03
-1.885000E-03,+875.000000E-03
-1.880000E-03,+875.000000E-03
-1.875000E-03,+906.250000E-03
-1.870000E-03,+906.250000E-03
-1.865000E-03,+875.000000E-03
-1.860000E-03,+937.500000E-03
-1.855000E-03,+937.500000E-03
-1.850000E-03,+937.500000E-03
-1.845000E-03,+1.000000000E+00
-1.840000E-03,+1.031250000E+00
-1.835000E-03,+1.000000000E+00
-1.830000E-03,+1.031250000E+00
-1.825000E-03,+1.031250000E+00
-1.820000E-03,+1.062500000E+00
-1.815000E-03,+1.062500000E+00
-1.810000E-03,+1.062500000E+00
-1.805000E-03,+1.093750000E+00
-1.800000E-03,+1.125000000E+00
-1.795000E-03,+1.093750000E+00
-1.790000E-03,+1.156250000E+00
-1.785000E-03,+1.156250000E+00
-1.780000E-03,+1.156250000E+00
-1.775000E-03,+1.187500000E+00
-1.770000E-03,+1.218750000E+00
-1.765000E-03,+1.156250000E+00
-1.760000E-03,+1.218750000E+00
-1.755000E-03,+1.218750000E+00
-1.750000E-03,+1.187500000E+00
-1.745000E-03,+1.218750000E+00
-1.740000E-03,+1.218750000E+00
-1.735000E-03,+1.218750000E+00
-1.730000E-03,+1.250000000E+00
-1.725000E-03,+1.250000000E+00
-1.720000E-03,+1.281250000E+00
-1.715000E-03,+1.250000000E+00
-1.710000E-03,+1.281250000E+00
-1.705000E-03,+1.250000000E+00
-1.700000E-03,+1.312500000E+00
-1.695000E-03,+1.281250000E+00
-1.690000E-03,+1.250000000E+00
-1.685000E-03,+1.281250000E+00
-1.680000E-03,+1.250000000E+00
-1.675000E-03,+1.281250000E+00
-1.670000E-03,+1.281250000E+00
-1.665000E-03,+1.312500000E+00
-1.660000E-03,+1.281250000E+00
-1.655000E-03,+1.281250000E+00
-1.650000E-03,+1.281250000E+00
-1.645000E-03,+1.281250000E+00
-1.640000E-03,+1.312500000E+00
-1.635000E-03,+1.312500000E+00
-1.630000E-03,+1.250000000E+00
-1.625000E-03,+1.312500000E+00
-1.620000E-03,+1.250000000E+00
-1.615000E-03,+1.281250000E+00
-1.610000E-03,+1.312500000E+00
-1.605000E-03,+1.218750000E+00
-1.600000E-03,+1.281250000E+00
-1.595000E-03,+1.250000000E+00
-1.590000E-03,+1.281250000E+00
-1.585000E-03,+1.281250000E+00
-1.580000E-03,+1.562500000E+00
-1.575000E-03,+1.250000000E+00
-1.570000E-03,+1.312500000E+00
-1.565000E-03,+1.312500000E+00
-1.560000E-03,+1.281250000E+00
-1.555000E-03,+1.218750000E+00
-1.550000E-03,+1.250000000E+00
-1.545000E-03,+1.250000000E+00
-1.540000E-03,+1.218750000E+00
-1.535000E-03,+1.218750000E+00
-1.530000E-03,+1.218750000E+00
-1.525000E-03,+1.187500000E+00
-1.520000E-03,+1.187500000E+00
-1.515000E-03,+1.187500000E+00
-1.510000E-03,+1.187500000E+00
-1.505000E-03,+1.187500000E+00
-1.500000E-03,+1.156250000E+00
-1.495000E-03,+1.187500000E+00
-1.490000E-03,+1.156250000E+00
-1.485000E-03,+1.125000000E+00
-1.480000E-03,+1.125000000E+00
-1.475000E-03,+1.093750000E+00
