x-axis,B,2
second,Volt,Volt
-2.499995E-03,-623.003906E-03,+424.614850E-03
-2.494995E-03,-580.031250E-03,+430.083991E-03
-2.489995E-03,-533.154297E-03,+435.942975E-03
-2.484995E-03,-484.328125E-03,+441.411335E-03
-2.479995E-03,-437.453125E-03,+446.489850E-03
-2.474995E-03,-390.574219E-03,+451.958600E-03
-2.469995E-03,-339.798828E-03,+457.426960E-03
-2.464995E-03,-294.873047E-03,+462.505476E-03
-2.459995E-03,-246.046875E-03,+467.973444E-03
-2.454995E-03,-199.175781E-03,+472.661335E-03
-2.449995E-03,-156.205078E-03,+477.738288E-03
-2.444995E-03,-111.281250E-03,+481.644929E-03
-2.439995E-03,-64.410156E-03,+485.941804E-03
-2.434995E-03,-21.443359E-03,+490.238289E-03
-2.429995E-03,+19.580078E-03,+494.144539E-03
-2.424995E-03,+68.406250E-03,+498.051179E-03
-2.419995E-03,+115.281250E-03,+502.347664E-03
-2.414995E-03,+162.158203E-03,+506.253914E-03
-2.409995E-03,+210.984375E-03,+510.160164E-03
-2.404995E-03,+257.859375E-03,+514.066023E-03
-2.399995E-03,+304.734375E-03,+517.582039E-03
-2.394995E-03,+351.605469E-03,+521.487898E-03
-2.389995E-03,+394.578125E-03,+525.003133E-03
-2.384995E-03,+441.451172E-03,+528.128133E-03
-2.379995E-03,+486.369141E-03,+531.253133E-03
-2.374995E-03,+527.388672E-03,+534.378133E-03
-2.369995E-03,+572.308594E-03,+537.503133E-03
-2.364995E-03,+615.281250E-03,+540.627742E-03
-2.359995E-03,+662.154297E-03,+543.362117E-03
-2.354995E-03,+707.078125E-03,+546.096493E-03
-2.349995E-03,+753.949219E-03,+548.830477E-03
-2.344995E-03,+796.917969E-03,+551.174618E-03
-2.339995E-03,+839.888672E-03,+553.908602E-03
-2.334995E-03,+884.810547E-03,+556.251961E-03
-2.329995E-03,+929.730469E-03,+558.205086E-03
-2.324995E-03,+972.699219E-03,+560.158211E-03
-2.319995E-03,+1.015667969E+00,+562.111337E-03
-2.314995E-03,+1.058636719E+00,+564.064071E-03
-2.309995E-03,+1.101603516E+00,+565.626571E-03
-2.304995E-03,+1.142619141E+00,+567.189071E-03
-2.299995E-03,+1.183636719E+00,+568.751180E-03
-2.294995E-03,+1.226599609E+00,+569.923055E-03
-2.289995E-03,+1.263714844E+00,+571.095321E-03
-2.284995E-03,+1.306679687E+00,+572.657040E-03
-2.279995E-03,+1.345742187E+00,+573.438680E-03
-2.274995E-03,+1.384804687E+00,+574.609774E-03
-2.269995E-03,+1.423867187E+00,+575.000790E-03
-2.264995E-03,+1.462925781E+00,+575.781649E-03
-2.259995E-03,+1.498082031E+00,+576.172274E-03
-2.254995E-03,+1.533240234E+00,+576.562509E-03
-2.249995E-03,+1.570349609E+00,+576.562899E-03
-2.244995E-03,+1.607455078E+00,+576.953134E-03
-2.239995E-03,+1.640662109E+00,+576.953134E-03
-2.234995E-03,+1.677769531E+00,+576.952743E-03
-2.229995E-03,+1.712925781E+00,+576.562118E-03
-2.224995E-03,+1.748082031E+00,+576.171493E-03
-2.219995E-03,+1.783236328E+00,+575.780868E-03
-2.214995E-03,+1.816439453E+00,+575.389852E-03
-2.209995E-03,+1.849642578E+00,+574.608602E-03
-2.204995E-03,+1.882843750E+00,+573.827352E-03
-2.199995E-03,+1.914095703E+00,+573.045321E-03
-2.194995E-03,+1.947298828E+00,+571.483602E-03
-2.189995E-03,+1.980498047E+00,+570.701571E-03
-2.184995E-03,+2.009796875E+00,+569.139462E-03
-2.179995E-03,+2.041044922E+00,+567.966805E-03
-2.174995E-03,+2.070343750E+00,+566.014071E-03
-2.169995E-03,+2.101589844E+00,+564.451180E-03
-2.164995E-03,+2.128937500E+00,+562.498055E-03
-2.159995E-03,+2.160181641E+00,+560.544930E-03
-2.154995E-03,+2.185574219E+00,+558.591415E-03
-2.149995E-03,+2.212914062E+00,+556.247665E-03
-2.144995E-03,+2.236355469E+00,+553.903915E-03
-2.139995E-03,+2.263695312E+00,+551.559774E-03
-2.134995E-03,+2.287134766E+00,+548.825399E-03
-2.129995E-03,+2.312523437E+00,+546.091024E-03
-2.124995E-03,+2.335958984E+00,+543.356258E-03
-2.119995E-03,+2.357445312E+00,+540.231258E-03
-2.114995E-03,+2.380878906E+00,+537.106258E-03
-2.109995E-03,+2.400410156E+00,+533.981258E-03
-2.104995E-03,+2.419941406E+00,+530.855867E-03
-2.099995E-03,+2.439470703E+00,+527.340242E-03
-2.094995E-03,+2.457050781E+00,+523.824617E-03
-2.089995E-03,+2.476580078E+00,+520.308602E-03
-2.084995E-03,+2.494158203E+00,+516.402351E-03
-2.079995E-03,+2.511734375E+00,+512.495711E-03
-2.074995E-03,+2.527361328E+00,+508.198836E-03
-2.069995E-03,+2.544935547E+00,+503.902351E-03
-2.064995E-03,+2.558611328E+00,+499.995711E-03
-2.059995E-03,+2.576185547E+00,+495.698836E-03
-2.054995E-03,+2.589857422E+00,+491.401960E-03
-2.049995E-03,+2.603529297E+00,+487.105085E-03
-2.044995E-03,+2.617199219E+00,+482.807820E-03
-2.039995E-03,+2.628916016E+00,+478.120320E-03
-2.034995E-03,+2.638683594E+00,+473.432038E-03
-2.029995E-03,+2.650400391E+00,+467.963288E-03
-2.024995E-03,+2.660164062E+00,+462.494148E-03
-2.019995E-03,+2.667978516E+00,+456.635163E-03
-2.014995E-03,+2.677742187E+00,+451.166022E-03
-2.009995E-03,+2.685552734E+00,+445.307038E-03
-2.004995E-03,+2.691412109E+00,+439.838288E-03
-1.999995E-03,+2.697271484E+00,+434.368756E-03
-1.994995E-03,+2.703130859E+00,+428.118366E-03
-1.989995E-03,+2.708988281E+00,+421.477741E-03
-1.984995E-03,+2.712896484E+00,+414.837116E-03
-1.979995E-03,+2.718751953E+00,+408.196490E-03
-1.974995E-03,+2.720705078E+00,+401.556256E-03
-1.969995E-03,+2.722656250E+00,+395.305865E-03
-1.964995E-03,+2.722658203E+00,+388.664850E-03
-1.959995E-03,+2.724609375E+00,+381.633990E-03
-1.954995E-03,+2.724607422E+00,+374.992974E-03
-1.949995E-03,+2.722654297E+00,+367.962115E-03
-1.944995E-03,+2.720701172E+00,+361.321099E-03
-1.939995E-03,+2.718746094E+00,+354.289068E-03
-1.934995E-03,+2.714841797E+00,+346.477349E-03
-1.929995E-03,+2.712886719E+00,+339.445708E-03
-1.924995E-03,+2.708976563E+00,+332.023833E-03
-1.919995E-03,+2.701166016E+00,+324.601567E-03
-1.914995E-03,+2.695306641E+00,+316.789067E-03
-1.909995E-03,+2.689445313E+00,+308.976958E-03
-1.904995E-03,+2.681632813E+00,+301.555083E-03
-1.899995E-03,+2.673816406E+00,+294.132817E-03
-1.894995E-03,+2.662099609E+00,+286.320317E-03
-1.889995E-03,+2.652333984E+00,+278.507817E-03
-1.884995E-03,+2.642568359E+00,+270.694926E-03
-1.879995E-03,+2.632800781E+00,+262.491801E-03
-1.874995E-03,+2.621082031E+00,+254.289066E-03
-1.869995E-03,+2.609363281E+00,+246.475785E-03
-1.864995E-03,+2.597642578E+00,+237.882425E-03
-1.859995E-03,+2.583968750E+00,+229.678910E-03
-1.854995E-03,+2.568343750E+00,+221.085550E-03
-1.849995E-03,+2.552716797E+00,+212.881644E-03
-1.844995E-03,+2.535138672E+00,+203.898050E-03
-1.839995E-03,+2.517564453E+00,+195.694534E-03
-1.834995E-03,+2.503886719E+00,+187.100003E-03
-1.829995E-03,+2.484359375E+00,+177.725393E-03
-1.824995E-03,+2.468732422E+00,+168.741018E-03
-1.819995E-03,+2.451152344E+00,+159.756643E-03
-1.814995E-03,+2.431621094E+00,+150.772268E-03
-1.809995E-03,+2.412087891E+00,+141.788283E-03
-1.804995E-03,+2.390605469E+00,+133.194533E-03
-1.799995E-03,+2.371070313E+00,+124.600002E-03
-1.794995E-03,+2.347632813E+00,+115.225783E-03
-1.789995E-03,+2.324193359E+00,+106.632033E-03
-1.784995E-03,+2.298804688E+00,+98.038673E-03
-1.779995E-03,+2.275365234E+00,+89.835158E-03
-1.774995E-03,+2.249976563E+00,+81.241407E-03
-1.769995E-03,+2.226535156E+00,+72.647267E-03
-1.764995E-03,+2.199191406E+00,+63.662501E-03
-1.759995E-03,+2.171845703E+00,+54.288282E-03
-1.754995E-03,+2.142550781E+00,+45.694141E-03
-1.749995E-03,+2.115203125E+00,+36.709766E-03
-1.744995E-03,+2.083955078E+00,+27.725391E-03
-1.739995E-03,+2.054658203E+00,+18.741407E-03
-1.734995E-03,+2.025357422E+00,+10.147656E-03
-1.729995E-03,+1.992158203E+00,+1.554297E-03
-1.724995E-03,+1.962857422E+00,-6.648438E-03
-1.719995E-03,+1.929656250E+00,-14.461328E-03
-1.714995E-03,+1.898404297E+00,-22.664844E-03
-1.709995E-03,+1.865201172E+00,-31.258204E-03
-1.704995E-03,+1.831998047E+00,-39.461329E-03
