x-axis,B
second,Volt
+23.88000E-03,-87.49998E-03
+23.93000E-03,-87.49998E-03
+23.98000E-03,-68.74998E-03
+24.03000E-03,-65.62498E-03
+24.08000E-03,+12.50002E-03
+24.13000E-03,+59.37502E-03
+24.18000E-03,+62.50002E-03
+24.23000E-03,-24.99998E-03
+24.28000E-03,-87.49998E-03
+24.33000E-03,-78.12498E-03
+24.38000E-03,-62.49998E-03
+24.43000E-03,-74.99998E-03
+24.48000E-03,-68.74998E-03
+24.53000E-03,+18.75002E-03
+24.58000E-03,+59.37502E-03
+24.63000E-03,-40.62498E-03
+24.68000E-03,-103.12498E-03
+24.73000E-03,-103.12498E-03
+24.78000E-03,-84.37498E-03
+24.83000E-03,-71.87498E-03
+24.88000E-03,-62.49998E-03
+24.93000E-03,+18.75002E-03
+24.98000E-03,+78.12502E-03
+25.03000E-03,+75.00002E-03
+25.08000E-03,-24.99998E-03
+25.13000E-03,-68.74998E-03
+25.18000E-03,-65.62498E-03
+25.23000E-03,-81.24998E-03
+25.28000E-03,-68.74998E-03
+25.33000E-03,-56.24998E-03
+25.38000E-03,+37.50002E-03
+25.43000E-03,+90.62502E-03
+25.48000E-03,+75.00002E-03
+25.53000E-03,-34.37498E-03
+25.58000E-03,-103.12498E-03
+25.63000E-03,-84.37498E-03
+25.68000E-03,-62.49998E-03
+25.73000E-03,-65.62498E-03
+25.78000E-03,-62.49998E-03
+25.83000E-03,+37.50002E-03
+25.88000E-03,+100.00002E-03
+25.93000E-03,-12.49998E-03
+25.98000E-03,-78.12498E-03
+26.03000E-03,-81.24998E-03
+26.08000E-03,-87.49998E-03
+26.13000E-03,-68.74998E-03
+26.18000E-03,-56.24998E-03
+26.23000E-03,+37.50002E-03
+26.28000E-03,+100.00002E-03
+26.33000E-03,+100.00002E-03
+26.38000E-03,-21.87498E-03
+26.43000E-03,-93.74998E-03
+26.48000E-03,-78.12498E-03
+26.53000E-03,-62.49998E-03
+26.58000E-03,-65.62498E-03
+26.63000E-03,-62.49998E-03
+26.68000E-03,+37.50002E-03
+26.73000E-03,+90.62502E-03
+26.78000E-03,+103.12502E-03
+26.83000E-03,-6.24998E-03
+26.88000E-03,-87.49998E-03
+26.93000E-03,-68.74998E-03
+26.98000E-03,-65.62498E-03
+27.03000E-03,-62.49998E-03
+27.08000E-03,-56.24998E-03
+27.13000E-03,+46.87502E-03
+27.18000E-03,+115.62502E-03
+27.23000E-03,+115.62502E-03
+27.28000E-03,-6.24998E-03
+27.33000E-03,-87.49998E-03
+27.38000E-03,-78.12498E-03
+27.43000E-03,-71.87498E-03
+27.48000E-03,-62.49998E-03
+27.53000E-03,-56.24998E-03
+27.58000E-03,+37.50002E-03
+27.63000E-03,+118.75002E-03
+27.68000E-03,+20E-09
+27.73000E-03,-87.49998E-03
+27.78000E-03,-87.49998E-03
+27.83000E-03,-87.49998E-03
+27.88000E-03,-78.12498E-03
+27.93000E-03,-53.12498E-03
+27.98000E-03,+71.87502E-03
+28.03000E-03,+137.50002E-03
+28.08000E-03,+131.25002E-03
+28.13000E-03,+20E-09
+28.18000E-03,-87.49998E-03
+28.23000E-03,-96.87498E-03
+28.28000E-03,-74.99998E-03
+28.33000E-03,-56.24998E-03
+28.38000E-03,-74.99998E-03
+28.43000E-03,+43.75002E-03
+28.48000E-03,+150.00002E-03
+28.53000E-03,+143.75002E-03
+28.58000E-03,-9.37498E-03
+28.63000E-03,-93.74998E-03
+28.68000E-03,-96.87498E-03
+28.73000E-03,-84.37498E-03
+28.78000E-03,-71.87498E-03
+28.83000E-03,-71.87498E-03
+28.88000E-03,+68.75002E-03
+28.93000E-03,+162.50002E-03
+28.98000E-03,+162.50002E-03
+29.03000E-03,+12.50002E-03
+29.08000E-03,-78.12498E-03
+29.13000E-03,-62.49998E-03
+29.18000E-03,-56.24998E-03
+29.23000E-03,-46.87498E-03
+29.28000E-03,-49.99998E-03
+29.33000E-03,+84.37502E-03
+29.38000E-03,+159.37502E-03
+29.43000E-03,-12.49998E-03
+29.48000E-03,-99.99998E-03
+29.53000E-03,-87.49998E-03
+29.58000E-03,-68.74998E-03
+29.63000E-03,-56.24998E-03
+29.68000E-03,-37.49998E-03
+29.73000E-03,+87.50002E-03
+29.78000E-03,+171.87502E-03
+29.83000E-03,+178.12502E-03
+29.88000E-03,+9.37502E-03
+29.93000E-03,-74.99998E-03
+29.98000E-03,-74.99998E-03
+30.03000E-03,-68.74998E-03
+30.08000E-03,-56.24998E-03
+30.13000E-03,-56.24998E-03
+30.18000E-03,+84.37502E-03
+30.23000E-03,+196.87502E-03
+30.28000E-03,+200.00002E-03
+30.33000E-03,+25.00002E-03
+30.38000E-03,-78.12498E-03
+30.43000E-03,-62.49998E-03
+30.48000E-03,-65.62498E-03
+30.53000E-03,-53.12498E-03
+30.58000E-03,-59.37498E-03
+30.63000E-03,+78.12502E-03
+30.68000E-03,+187.50002E-03
+30.73000E-03,+34.37502E-03
+30.78000E-03,-81.24998E-03
+30.83000E-03,-78.12498E-03
+30.88000E-03,-71.87498E-03
+30.93000E-03,-62.49998E-03
+30.98000E-03,-74.99998E-03
+31.03000E-03,+6.25002E-03
+31.08000E-03,+153.12502E-03
+31.13000E-03,+218.75002E-03
+31.18000E-03,+28.12502E-03
+31.23000E-03,-103.12498E-03
+31.28000E-03,-84.37498E-03
+31.33000E-03,-71.87498E-03
+31.38000E-03,-62.49998E-03
+31.43000E-03,-56.24998E-03
+31.48000E-03,+112.50002E-03
+31.53000E-03,+225.00002E-03
+31.58000E-03,+225.00002E-03
+31.63000E-03,+18.75002E-03
+31.68000E-03,-99.99998E-03
+31.73000E-03,-68.74998E-03
+31.78000E-03,-56.24998E-03
+31.83000E-03,-37.49998E-03
+31.88000E-03,-53.12498E-03
+31.93000E-03,+115.62502E-03
+31.98000E-03,+240.62502E-03
+32.03000E-03,+240.62502E-03
+32.08000E-03,+34.37502E-03
+32.13000E-03,-93.74998E-03
+32.18000E-03,-78.12498E-03
+32.23000E-03,-62.49998E-03
+32.28000E-03,-56.24998E-03
+32.33000E-03,-56.24998E-03
+32.38000E-03,+131.25002E-03
+32.43000E-03,+246.87502E-03
+32.48000E-03,+25.00002E-03
+32.53000E-03,-99.99998E-03
+32.58000E-03,-68.74998E-03
+32.63000E-03,-56.24998E-03
+32.68000E-03,-56.24998E-03
+32.73000E-03,-46.87498E-03
+32.78000E-03,+146.87502E-03
+32.83000E-03,+271.87502E-03
+32.88000E-03,+271.87502E-03
+32.93000E-03,+37.50002E-03
+32.98000E-03,-109.37498E-03
+33.03000E-03,-93.74998E-03
+33.08000E-03,-59.37498E-03
+33.13000E-03,-40.62498E-03
+33.18000E-03,-59.37498E-03
+33.23000E-03,+134.37502E-03
+33.28000E-03,+281.25002E-03
+33.33000E-03,+278.12502E-03
+33.38000E-03,+37.50002E-03
+33.43000E-03,-109.37498E-03
+33.48000E-03,-84.37498E-03
+33.53000E-03,-71.87498E-03
+33.58000E-03,-62.49998E-03
+33.63000E-03,-56.24998E-03
+33.68000E-03,+168.75002E-03
+33.73000E-03,+318.75002E-03
+33.78000E-03,+309.37502E-03
+33.83000E-03,+59.37502E-03
+33.88000E-03,-103.12498E-03
+33.93000E-03,-74.99998E-03
+33.98000E-03,-56.24998E-03
+34.03000E-03,-56.24998E-03
+34.08000E-03,-46.87498E-03
+34.13000E-03,+184.37502E-03
+34.18000E-03,+325.00002E-03
+34.23000E-03,+65.62502E-03
+34.28000E-03,-93.74998E-03
+34.33000E-03,-78.12498E-03
+34.38000E-03,-71.87498E-03
+34.43000E-03,-62.49998E-03
+34.48000E-03,-28.12498E-03
+34.53000E-03,+187.50002E-03
+34.58000E-03,+337.50002E-03
+34.63000E-03,+340.62502E-03
+34.68000E-03,+62.50002E-03
+34.73000E-03,-109.37498E-03
+34.78000E-03,-84.37498E-03
+34.83000E-03,-71.87498E-03
+34.88000E-03,-71.87498E-03
+34.93000E-03,-53.12498E-03
+34.98000E-03,+193.75002E-03
+35.03000E-03,+350.00002E-03
+35.08000E-03,+340.62502E-03
+35.13000E-03,+71.87502E-03
+35.18000E-03,-93.74998E-03
+35.23000E-03,-78.12498E-03
+35.28000E-03,-62.49998E-03
+35.33000E-03,-46.87498E-03
+35.38000E-03,-31.24998E-03
+35.43000E-03,+228.12502E-03
+35.48000E-03,+378.12502E-03
+35.53000E-03,+215.62502E-03
+35.58000E-03,-24.99998E-03
+35.63000E-03,-99.99998E-03
+35.68000E-03,-59.37498E-03
+35.73000E-03,-40.62498E-03
+35.78000E-03,-40.62498E-03
+35.83000E-03,-40.62498E-03
+35.88000E-03,+221.87502E-03
+35.93000E-03,+396.87502E-03
+35.98000E-03,+78.12502E-03
+36.03000E-03,-115.62498E-03
+36.08000E-03,-84.37498E-03
+36.13000E-03,-62.49998E-03
+36.18000E-03,-37.49998E-03
+36.23000E-03,-24.99998E-03
+36.28000E-03,+237.50002E-03
+36.33000E-03,+421.87502E-03
+36.38000E-03,+428.12502E-03
+36.43000E-03,+100.00002E-03
+36.48000E-03,-109.37498E-03
+36.53000E-03,-84.37498E-03
+36.58000E-03,-62.49998E-03
+36.63000E-03,-56.24998E-03
+36.68000E-03,-46.87498E-03
+36.73000E-03,+240.62502E-03
+36.78000E-03,+437.50002E-03
+36.83000E-03,+434.37502E-03
+36.88000E-03,+100.00002E-03
+36.93000E-03,-90.62498E-03
+36.98000E-03,-62.49998E-03
+37.03000E-03,-46.87498E-03
+37.08000E-03,-49.99998E-03
+37.13000E-03,-37.49998E-03
+37.18000E-03,+275.00002E-03
+37.23000E-03,+484.37502E-03
+37.28000E-03,+115.62502E-03
+37.33000E-03,-115.62498E-03
+37.38000E-03,-84.37498E-03
+37.43000E-03,-62.49998E-03
+37.48000E-03,-56.24998E-03
+37.53000E-03,-37.49998E-03
+37.58000E-03,+284.37502E-03
+37.63000E-03,+509.37502E-03
+37.68000E-03,+493.75002E-03
+37.73000E-03,+109.37502E-03
+37.78000E-03,-124.99998E-03
+37.83000E-03,-90.62498E-03
+37.88000E-03,-62.49998E-03
+37.93000E-03,-37.49998E-03
+37.98000E-03,-34.37498E-03
