Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
300,0.00886892,-0.661735
301.211,0.00666282,-0.665028
302.428,0.00616223,-0.667827
303.649,0.00378532,-0.672817
304.875,0.00854041,-0.675476
306.106,0.0109804,-0.678537
307.342,0.00643589,-0.679837
308.583,0.00789338,-0.684403
309.829,0.00729084,-0.687613
311.08,0.0101553,-0.691913
312.336,0.00710221,-0.694451
313.598,0.00903244,-0.695386
314.864,0.00648004,-0.700439
316.135,0.00737801,-0.70155
317.412,0.00718894,-0.704076
318.693,0.00395221,-0.703266
319.98,0.00521627,-0.709019
321.272,0.00491808,-0.712305
322.57,0.00736077,-0.71286
323.872,0.00552871,-0.717514
325.18,0.00670548,-0.720788
326.493,0.00529269,-0.7255
327.811,0.00536617,-0.727136
329.135,0.00968773,-0.731034
330.464,0.00600335,-0.735959
331.798,0.0033445,-0.736481
333.138,0.00850802,-0.738624
334.483,0.00624154,-0.741616
335.834,0.00625073,-0.74537
337.19,0.00883605,-0.750317
338.552,0.00589709,-0.754135
339.919,0.00566243,-0.758161
341.291,0.00718311,-0.76137
342.669,0.00360331,-0.765332
344.053,0.00857128,-0.767625
345.442,0.0087709,-0.771814
346.837,0.00530025,-0.771135
348.238,0.00771707,-0.779322
349.644,0.00593257,-0.779804
351.056,0.0042535,-0.782905
352.473,0.00980427,-0.787554
353.897,0.00868381,-0.792774
355.326,0.00322171,-0.794995
356.76,0.0051813,-0.7973
358.201,0.00641204,-0.802263
359.647,0.00525073,-0.803319
361.1,0.00369961,-0.805899
362.558,0.00341142,-0.810076
364.022,0.0057304,-0.81377
365.491,0.0060095,-0.817978
366.967,0.00632163,-0.818392
368.449,0.00818756,-0.824227
369.937,0.00741408,-0.825502
371.431,0.00337947,-0.828787
372.93,0.00842734,-0.834068
374.436,0.00860913,-0.836379
375.948,0.00493363,-0.839799
377.466,0.00163933,-0.841267
378.991,0.00603181,-0.848508
380.521,0.00559751,-0.850462
382.057,0.00504433,-0.857003
383.6,0.00643588,-0.857614
385.149,0.00879795,-0.860969
386.704,0.00529955,-0.864972
388.266,0.0060475,-0.868021
389.834,0.00552068,-0.87217
391.408,0.00580271,-0.87675
392.988,0.00637184,-0.88166
394.575,0.00664141,-0.885363
396.168,0.010614,-0.888731
397.768,0.00735116,-0.890544
399.374,0.00610802,-0.893233
400.987,0.0081343,-0.898981
402.606,0.0015114,-0.900177
404.232,0.00636275,-0.905749
405.864,0.00613507,-0.91192
407.503,0.00176993,-0.913997
409.148,0.0076319,-0.919634
410.8,0.0104281,-0.922528
412.459,0.00405668,-0.926392
414.125,0.00512008,-0.931245
415.797,0.00753667,-0.93807
417.476,0.00479495,-0.93778
419.162,0.00489879,-0.941726
420.854,0.00521947,-0.945225
422.553,0.00539117,-0.950331
424.26,0.00751505,-0.954785
425.973,0.00810374,-0.961454
427.693,0.00897995,-0.963881
429.42,0.00467498,-0.964509
431.154,0.00832285,-0.969853
432.895,0.00455133,-0.976623
434.643,0.00398818,-0.977296
436.398,0.00474768,-0.983086
438.16,0.00746297,-0.98793
439.929,0.00598499,-0.989485
441.706,0.00338285,-0.995196
443.489,0.00624535,-0.999844
445.28,0.00576579,-1.00829
447.078,0.00740854,-1.01041
448.883,0.0075207,-1.01652
450.696,0.00631493,-1.01491
452.516,0.00853765,-1.0234
454.343,0.00985549,-1.03
456.178,0.0045615,-1.03024
458.02,0.00603969,-1.03465
459.869,0.00671345,-1.04106
461.726,0.00326912,-1.04429
463.59,0.0025598,-1.04834
465.462,0.00673791,-1.0546
467.342,0.00901274,-1.05994
469.229,0.00830152,-1.06311
471.124,0.00545654,-1.07066
473.026,0.00188987,-1.07135
474.936,0.00427065,-1.07448
476.854,0.00526178,-1.08136
478.779,0.0116514,-1.0888
480.713,0.00764919,-1.09154
482.654,0.0101969,-1.09868
484.603,0.00710214,-1.09943
486.56,0.0049561,-1.10479
488.524,0.00494351,-1.10942
490.497,-0.00133674,-1.11267
492.477,0.00540566,-1.12212
494.466,0.0031743,-1.12249
496.463,0.00646237,-1.12928
498.467,0.0104578,-1.13398
500.48,0.004299,-1.14364
