x-axis,B
second,Volt
+97.05000E-03,+37.50002E-03
+97.10000E-03,+6.25002E-03
+97.15000E-03,+21.87502E-03
+97.20000E-03,-9.37498E-03
+97.25000E-03,-9.37498E-03
+97.30000E-03,+21.87502E-03
+97.35000E-03,+6.25002E-03
+97.40000E-03,+21.87502E-03
+97.45000E-03,+21.87502E-03
+97.50000E-03,+37.50002E-03
+97.55000E-03,+6.25002E-03
+97.60000E-03,+6.25002E-03
+97.65000E-03,+21.87502E-03
+97.70000E-03,+21.87502E-03
+97.75000E-03,+37.50002E-03
+97.80000E-03,+37.50002E-03
+97.85000E-03,+6.25002E-03
+97.90000E-03,+37.50002E-03
+97.95000E-03,+21.87502E-03
+98.00000E-03,+37.50002E-03
+98.05000E-03,+21.87502E-03
+98.10000E-03,+21.87502E-03
+98.15000E-03,+37.50002E-03
+98.20000E-03,+6.25002E-03
+98.25000E-03,+6.25002E-03
+98.30000E-03,+37.50002E-03
+98.35000E-03,+21.87502E-03
+98.40000E-03,+37.50002E-03
+98.45000E-03,+37.50002E-03
+98.50000E-03,+37.50002E-03
+98.55000E-03,+6.25002E-03
+98.60000E-03,+37.50002E-03
+98.65000E-03,+37.50002E-03
+98.70000E-03,+37.50002E-03
+98.75000E-03,+21.87502E-03
+98.80000E-03,+6.25002E-03
+98.85000E-03,+21.87502E-03
+98.90000E-03,+37.50002E-03
+98.95000E-03,+37.50002E-03
+99.00000E-03,+37.50002E-03
+99.05000E-03,+21.87502E-03
+99.10000E-03,+21.87502E-03
+99.15000E-03,+21.87502E-03
+99.20000E-03,+53.12502E-03
+99.25000E-03,+37.50002E-03
+99.30000E-03,+53.12502E-03
+99.35000E-03,+53.12502E-03
+99.40000E-03,+53.12502E-03
+99.45000E-03,+37.50002E-03
+99.50000E-03,+53.12502E-03
+99.55000E-03,+53.12502E-03
+99.60000E-03,+37.50002E-03
+99.65000E-03,+21.87502E-03
+99.70000E-03,+37.50002E-03
+99.75000E-03,+37.50002E-03
+99.80000E-03,+53.12502E-03
+99.85000E-03,+37.50002E-03
+99.90000E-03,+68.75002E-03
+99.95000E-03,+37.50002E-03
+100.00000E-03,+53.12502E-03
+100.05000E-03,+84.37502E-03
+100.10000E-03,+53.12502E-03
+100.15000E-03,+21.87502E-03
+100.20000E-03,+37.50002E-03
+100.25000E-03,+53.12502E-03
+100.30000E-03,+37.50002E-03
+100.35000E-03,+37.50002E-03
+100.40000E-03,+53.12502E-03
+100.45000E-03,+68.75002E-03
+100.50000E-03,+53.12502E-03
+100.55000E-03,+37.50002E-03
+100.60000E-03,+53.12502E-03
+100.65000E-03,+53.12502E-03
+100.70000E-03,+53.12502E-03
+100.75000E-03,+100.00002E-03
+100.80000E-03,+68.75002E-03
+100.85000E-03,+53.12502E-03
+100.90000E-03,+53.12502E-03
+100.95000E-03,+53.12502E-03
+101.00000E-03,+68.75002E-03
+101.05000E-03,+84.37502E-03
+101.10000E-03,+68.75002E-03
+101.15000E-03,+84.37502E-03
+101.20000E-03,+68.75002E-03
+101.25000E-03,+53.12502E-03
+101.30000E-03,+68.75002E-03
+101.35000E-03,+68.75002E-03
+101.40000E-03,+68.75002E-03
+101.45000E-03,+84.37502E-03
+101.50000E-03,+84.37502E-03
+101.55000E-03,+68.75002E-03
+101.60000E-03,+53.12502E-03
+101.65000E-03,+53.12502E-03
+101.70000E-03,+53.12502E-03
+101.75000E-03,+53.12502E-03
+101.80000E-03,+100.00002E-03
+101.85000E-03,+68.75002E-03
+101.90000E-03,+68.75002E-03
+101.95000E-03,+84.37502E-03
+102.00000E-03,+68.75002E-03
+102.05000E-03,+84.37502E-03
+102.10000E-03,+84.37502E-03
+102.15000E-03,+84.37502E-03
+102.20000E-03,+84.37502E-03
+102.25000E-03,+68.75002E-03
+102.30000E-03,+68.75002E-03
+102.35000E-03,+84.37502E-03
+102.40000E-03,+100.00002E-03
+102.45000E-03,+100.00002E-03
+102.50000E-03,+84.37502E-03
+102.55000E-03,+84.37502E-03
+102.60000E-03,+84.37502E-03
+102.65000E-03,+68.75002E-03
+102.70000E-03,+84.37502E-03
+102.75000E-03,+84.37502E-03
+102.80000E-03,+68.75002E-03
+102.85000E-03,+84.37502E-03
+102.90000E-03,+84.37502E-03
+102.95000E-03,+84.37502E-03
+103.00000E-03,+84.37502E-03
+103.05000E-03,+100.00002E-03
+103.10000E-03,+84.37502E-03
+103.15000E-03,+115.62502E-03
+103.20000E-03,+100.00002E-03
+103.25000E-03,+100.00002E-03
+103.30000E-03,+115.62502E-03
+103.35000E-03,+100.00002E-03
+103.40000E-03,+115.62502E-03
+103.45000E-03,+100.00002E-03
+103.50000E-03,+115.62502E-03
+103.55000E-03,+115.62502E-03
+103.60000E-03,+115.62502E-03
+103.65000E-03,+131.25002E-03
+103.70000E-03,+100.00002E-03
+103.75000E-03,+100.00002E-03
+103.80000E-03,+115.62502E-03
+103.85000E-03,+131.25002E-03
+103.90000E-03,+84.37502E-03
+103.95000E-03,+131.25002E-03
+104.00000E-03,+100.00002E-03
+104.05000E-03,+131.25002E-03
+104.10000E-03,+131.25002E-03
+104.15000E-03,+115.62502E-03
+104.20000E-03,+131.25002E-03
+104.25000E-03,+115.62502E-03
+104.30000E-03,+131.25002E-03
+104.35000E-03,+115.62502E-03
+104.40000E-03,+115.62502E-03
+104.45000E-03,+115.62502E-03
+104.50000E-03,+115.62502E-03
+104.55000E-03,+131.25002E-03
+104.60000E-03,+115.62502E-03
+104.65000E-03,+131.25002E-03
+104.70000E-03,+115.62502E-03
+104.75000E-03,+115.62502E-03
+104.80000E-03,+115.62502E-03
+104.85000E-03,+115.62502E-03
+104.90000E-03,+131.25002E-03
+104.95000E-03,+131.25002E-03
+105.00000E-03,+131.25002E-03
+105.05000E-03,+131.25002E-03
+105.10000E-03,+131.25002E-03
+105.15000E-03,+162.50002E-03
+105.20000E-03,+115.62502E-03
+105.25000E-03,+146.87502E-03
+105.30000E-03,+131.25002E-03
+105.35000E-03,+146.87502E-03
+105.40000E-03,+146.87502E-03
+105.45000E-03,+146.87502E-03
+105.50000E-03,+115.62502E-03
+105.55000E-03,+131.25002E-03
+105.60000E-03,+162.50002E-03
+105.65000E-03,+162.50002E-03
+105.70000E-03,+131.25002E-03
+105.75000E-03,+162.50002E-03
+105.80000E-03,+146.87502E-03
+105.85000E-03,+146.87502E-03
+105.90000E-03,+178.12502E-03
+105.95000E-03,+162.50002E-03
+106.00000E-03,+162.50002E-03
+106.05000E-03,+146.87502E-03
+106.10000E-03,+131.25002E-03
+106.15000E-03,+146.87502E-03
+106.20000E-03,+146.87502E-03
+106.25000E-03,+178.12502E-03
