X (Hz),Y (dBV),
0,-43.07854,
19.07582,-12.40959,
38.15163,-4.632555,
57.22745,-3.830829,
76.30326,-9.808161,
95.37907,-23.97104,
114.4549,-50.0933,
133.5307,-51.80987,
152.6065,-50.96342,
171.6823,-53.40078,
190.7581,-55.28554,
209.834,-57.44255,
228.9098,-58.73096,
247.9856,-55.35106,
267.0614,-56.84166,
286.1372,-65.23251,
305.213,-68.79019,
324.2888,-77.44167,
343.3647,-62.56638,
362.4405,-56.71587,
381.5163,-54.1593,
400.5921,-55.65204,
419.6679,-65.24583,
438.7437,-50.45732,
457.8196,-49.42031,
476.8954,-51.11401,
495.9712,-51.81257,
515.047,-52.44655,
534.1228,-54.76477,
553.1987,-62.4603,
572.2745,-58.20438,
591.3503,-54.46135,
610.4261,-58.74702,
629.5019,-58.44122,
648.5777,-54.24202,
667.6535,-53.08121,
686.7294,-49.14146,
705.8052,-50.7905,
724.881,-64.62045,
743.9568,-55.51838,
763.0326,-52.69609,
782.1084,-56.60859,
801.1843,-52.08635,
820.2601,-50.7071,
839.3359,-50.14619,
858.4117,-50.05098,
877.4875,-51.08767,
896.5633,-49.22329,
915.6392,-49.06675,
934.715,-50.76292,
953.7908,-53.43644,
972.8666,-66.77739,
991.9424,-54.74712,
1011.018,-54.03976,
1030.094,-53.50907,
1049.17,-55.24074,
1068.246,-63.48122,
1087.321,-60.42126,
1106.397,-55.0591,
1125.473,-58.11769,
1144.549,-78.32246,
1163.625,-63.04504,
1182.701,-67.1254,
1201.776,-53.85537,
1220.852,-50.06655,
1239.928,-50.14188,
1259.004,-53.02753,
1278.08,-62.80403,
1297.155,-71.65111,
1316.231,-72.38169,
1335.307,-71.42194,
1354.383,-68.83015,
1373.459,-56.20776,
1392.535,-50.69118,
1411.61,-53.20354,
1430.686,-62.24985,
1449.762,-56.87141,
1468.838,-54.83595,
1487.914,-55.50741,
1506.989,-51.78072,
1526.065,-52.25374,
1545.141,-55.75465,
1564.217,-58.46962,
1583.293,-51.39351,
1602.369,-51.67107,
1621.444,-55.51774,
1640.52,-55.44991,
1659.596,-54.42481,
1678.672,-54.38131,
1697.748,-54.92993,
1716.823,-53.33996,
1735.899,-51.12085,
1754.975,-53.48986,
1774.051,-74.28564,
1793.127,-51.03693,
